"""%s"" keywords to find the following results","Từ khóa ""%s"" cho ra các kết quả sau"
"%s tax VAT(VAT = total price books x %s)","%s thuế VAT (thuế Giá trị gia tăng = tổng giá sách x %s)"
"Add field search book","Thêm ô tìm kiếm"
"Asia Commercial Bank (ACB)","Ngân hàng ACB"
"Asia Commercial Bank (ACB) account","Tài khoản tại ACB"
"Account name: Cong ty co phan Ti Ki","Tên tài khoản: công ty cổ phần Ti Ki"
"Account name: Tran Ngoc Thai Son","Tên tài khoản: Trần Ngọc Thái Sơn"
"Account Number","Số tài khoản"
"Amount","Thành tiền"
"Applying the set through Amazon books. Books located at other sites will have different costs.","Áp dụng với sách đặt qua Amazon. Sách đặt tại các site khác sẽ có mức phí khác."
"Author","Tác giả"
"Back to Book Search","Quay lại bước tìm kiếm sách"
"Back to Order review","Quay lại bước xem đơn đặt hàng"
"Back to Search Results","Quay lại bước kết quá tìm được"
"Books delivered to your door <span class=""note"">(7-10 business days)</span>","Sách giao tận nhà <span class=""note"">(7-10 ngày làm việc)</span>"
"Books to search:","Sách cần tìm:"
"Buy this book","Chọn mua cuốn này"
"Can't find a book you're looking for in Vietnam (even Wannabe.com.vn hasn't carried it, yet.)? Now, with our Custom Order feature, you can literally buy millions of English books from oldest to latest ones, specialized, rare or even used books. Find and order almost any English titles in just 3 simple steps. Just try, it takes only 2 minutes.","Cuốn sách bạn cần mua không có tại Việt Nam (cả Wannabe.com.vn cũng chưa có)? Nay bạn đã có thể dễ dàng mua hàng triệu tựa sách ngoại văn từ mới nhất đến cũ nhất, sách chuyên ngành, sách hiếm và thậm chí sách cũ bằng dịch vụ Đặt Sách Giùm Bạn. Chỉ với 3 bước đơn giản, bạn có thể mua bất cứ tựa sách ngoại văn nào chỉ trong 2 phút."
"Change","Thay đổi"
"Check orders","Kiểm tra đơn đặt hàng"
"Click here to contact us","Nhấn vào đây để liên hệ với chúng tôi"
"Continue to Order Review","Tiếp tục"
"Continue to Shipping Information","Tiếp tục"
"Currency USD/VND","Tỉ giá USD/VNĐ"
"Customer information and order","Thông tin khách hàng và đặt hàng"
"Custom Order","ĐẶT SÁCH GIÙM BẠN"
"Delivery Address","Địa chỉ giao hàng"
"Deposit","Đặt cọc"
"Deposited","Đã đặt cọc"
"Deposit (50%)","Đặt cọc (50%)"
"Dong A Bank","Ngân hàng Đông Á"
"Dong A Bank account","Tài khoản tại Đông Á"
"Do not waste time and the postal delivery procedures. Books are delivered to your home.","Không tốn thời gian ra bưu điện nhận hàng và làm thủ tục. Sách được giao đến tận nhà bạn."
"Easy","Dễ dàng"
"Enter book titles, Amazon links, ISBN number or keywords in the textboxes below to search","Gõ tựa sách, link (Amazon), số ISBN hoặc từ khóa của các tựa sách bạn muốn tìm vào các ô tìm kiếm."
"Email Address","Địa chỉ Email"
"Error during processing orders, reorder your berry","Lỗi trong qua trình đặt hàng, mọng bạn đặt hàng lại"
"Find Books","Tìm sách"
"Free shipping nationwide in Vietnam (for order from %s)","Miễn phí giao hàng tận nhà trên toàn quốc (đơn hàng trên %s)"
"Full Name","Họ Tên"
"Exchange rate 1 USD =","Tỉ giá 1 USD ="
"Go to Home page","Về trang chủ"
"Good price!","Giá tốt!"
"If customer's request VAT invoice (VAT), please specify company name, tax identification number and address in the notes.","Nếu Quí Khách yêu cầu xuất hóa đơn GTGT (VAT), xin vui lòng ghi rõ tên công ty, mã số thuế, địa chỉ trong phần ghi chú."
"If not find the English book title you need? Our Custom Order feature will help you buy virtually any English titles fast and easy. Click Custom Order for %s to seach and order your English books.","Nếu không tìm thấy tựa sách tiếng Anh bạn cần? dịch vụ Đặt Sách Giùm Bạn sẽ giúp bạn đặt mua mọi tưa sách tiếng Anh dễ dàng và nhanh chóng. Click Đặt sách %s để tìm và đặt sách tiếng Anh bạn cần."
"If you're looking for more than 3 book titles","nếu bạn cần tìm nhiều hơn 3 tựa sách."
"Just before the 50% deposit. Upon receipt of the payment book 50%","Chỉ cần đặt cọc trước 50%. Khi nhận sách thanh toán 50% còn lại"
"The amazon link you provide to us is incomplete or not the link to the product details, please copy the link properly as required.","Link amazon của bạn cung cấp cho chúng tôi không đầy đủ hay không phải là link vào sản phẩm chi tiết, xin vui lòng copy đường link đúng theo yêu cầu."
"Loading next step","Đang tải bước tiếp theo"
"Loading result search","Đang tìm kiếm kết quả"
"No credit card required. Save yourself from complicated custom process and time spent waiting at the post-office.","Không tốn thời gian ra bưu điện nhận hàng và làm thủ tục. Sách được giao đến tận nhà bạn."
"No credit card needed","Không cần thẻ tín dụng"
"Safety - Peace of mind","An toàn - Yên tâm"
"Note","Ghi chú"
"Note: Price list by Amazon right price (if Amazon reduced the price 50% of you are also entitled to 50%). You can click to see more titles and buy the right book you need.","Lưu ý: Giá sách bằng đúng giá Amazon (nếu Amazon giảm 50% thì giá của bạn cũng được giảm 50%). Bạn có thể click vào tựa sách để xem thêm thông và mua đúng cuốn sách bạn cần."
"Note (to assist us making your order faster): &lt;Your name&gt;, &lt;Your phone number&gt;","Nội dung chuyển khoản: &lt;tên Khách hàng&gt;, &lt;số điện thoại&gt;"
"Order","Đặt hàng"
"Order books in 2 minutes with 3 simple steps","Đặt sách trong 2 phút với 3 bước đơn giản"
"ORDER BOOK WITH 3 EASY STEPS","ĐẶT SÁCH DỄ DÀNG VỚI 3 BƯỚC"
"Order Code","Mã đơn hàng"
"Order Date","Ngày đặt hàng"
"Order failed","Đặt hàng không thành công"
"Order Steps","Các bước đặt hàng"
"Order Success","Đặt hàng Thành Công"
"Order successful, we will contact you as soon as possible","Đặt hàng thành công, chúng tôi sẽ liên hệ với bạn trong thời gian sớm nhất"
"Order to continue","Đặt hàng tiếp tục"
"Page number","Số trang"
"Payment","Thanh Toán"
"Place Order","Đặt hàng"
"Price of this book may not be accurate. However, you can still order this book. Please complete the steps set the policy. Wannabe.com.vn mail or phone will send quotation to you within 24 hours.","Giá của cuốn sách này có thể chưa chính xác. Tuy nhiên, bạn vẫn có thể đặt hàng cuốn sách này. Xin vui lòng hoàn tất các bước đặt sách. Wannabe.com.vn sẽ gửi mail hoặc điện thoại báo giá chính xác cho bạn trong 24 giờ."
"Purchase books in Vietnam with the price Amazon","Mua sách tại Việt Nam với giá Amazon"
"Publication date","Ngày xuất bản"
"Qty","Số lượng"
"Fast","Nhanh chóng"
"Rates displayed in the page, no need to wait.","Giá hiển thị ngay tại trang, không cần chờ đợi."
"Rapid transit times in 7-10 working days (from date of deposit)","Thời gian vận chuyển nhanh trong 7-10 ngày làm việc (kể từ ngày đặt cọc)"
"Unbeatable price","Mức giá hợp lý"
"Reorder","Đặt hàng lại"
"Required Field","Các trường bắt buộc"
"Search Results","Kết quả tìm kiếm và số lượng đặt hàng"
"Search keyword book","Tìm kiếm từ khóa"
"Search","Tìm sách"
"Subtotal","Thành tiền"
"Subtotal_item","Tổng giá trị hàng"
"Send Email for customer","Gửi email cho khách hàng"
"Service fee:","Phí dịch vụ:"
"Service fee: %s/book *","Phí dịch vụ: %s/cuốn *"
"Service fee","Chi phí dịch vụ"
"Shipping fee:","Phí vận chuyển:"
"Shipping fee: %s/lbs (pound). Minimum 1 lbs.","Phí vận chuyển: %s/lbs (pound). Tối thiểu 1 lbs."
"Shipping fee","Chi phí vận chuyển"
"Tax","Thuế GTGT"
"Tax GTGT (VAT)","Thuế GTGT (VAT)"
"Title book","Tựa sách"
"Thank you for ordering your books at Wannabe.com.vn","Cảm ơn bạn đã sử dụng dịch vụ “Đặt sách giùm bạn” tại Wannabe.com.vn"
"There are currently book <strong style='color:#FF0000'>""%s""</strong> don't weight, we will quotes the shipping charges when books on VietNam.","Hiện tại sách <strong style='color:#FF0000'>""%s""</strong> không có trọng lượng, chúng tôi sẽ báo giá chi phí vận chuyển khi sách về tới Việt Nam."
"There are some problems when you leave the page too long, please refresh (F5) the page and perform operations order, thank you","Có một số vấn đề khi bạn để trang quá lâu, xin vui lòng làm tươi (F5) lại trang và thực hiện thao tác đặt hàng, xin cám ơn"
"This service only supports ordering paper books. Other products like computers, ebooks... are not accepted.","Hiện tại dịch vụ Đặt Sách Giùm Bạn chỉ hỗ trợ việc đặt sách giấy. Các sản phẩm khác như máy tính, sách ebook... sẽ không thể đặt qua dịch vụ này."
"Total","Tổng tiền"
"Total left","Tổng tiền còn lại"
"To complete your order, please deposit 50% of the total invoice to one of our bank accounts below . As soon as we get the confirmation of your deposit, we will ship the books to you.","Để hoàn tất qui trình đặt hàng, xin vui lòng đặt cọc 50%. Sau khi bạn chuyển tiền, Wannabe sẽ nhanh chóng đặt hàng, vận chuyển về Việt Nam và giao tận nhà giúp bạn."
"To transfer a deposit, you can move into a second bank account in your Wannabe as follows:","Để chuyển tiền đặt cọc, bạn có thể chuyển vào 1 trong 2 tài khoản ngân hàng của Wannabe như sau:"
"Transfer Bank","Chuyển vào"
"Transfer Date","Ngày chuyển"
"Transfer into account","Chuyển vào tài khoản"
"Vietcombank (no cost if the bank transfer VCB)","Ngân hàng Vietcombank : (không mất phí nếu chuyển cùng ngân hàng VCB)"
"Vietcombank Tan Dinh branch","chi nhánh VCB Tân Định"
"vnd","vnđ"
"We did not find any suitable books, you can contact us to assist you in a better way","Chúng tôi không tìm thấy sách nào phù hợp, bạn có thể liên hệ với chúng tôi để hỗ trợ cho bạn một cách tốt nhất"
"Weight","Trọng lượng"
"We've sent an confirmation email with all information about this order and payment instructions. Please check your email.","Chúng tôi đã gửi email để xác nhận đơn đặt hàng. Mọi thông tin về đơn hàng và hướng dẫn thanh toán đều được thông báo chi tiết trong email. Xin vui lòng kiểm tra email của bạn."
"Why you should use Custom Order?","Ưu  điểm so với các hình thức đặt sách khác"
"Your Selected Books","Đã chọn các sách"