"Cung cap tu dong sku","Cung cấp tự động SKU"
"Nganh hang:","Ngành hàng:"
"Vui long cho nganh hang","Vui lòng chọn ngành hàng"
"So luong SKU:","Số lượng Sku cần:"
"Dong y","Đồng ý"
"ds sku da cap","Danh sách SKU đã cấp"
"Nganh hang","Ngành hàng"
"Ngay cap","Ngày cấp"
"Nguoi yeu cau","Người yêu cầu"
"Da bo qua Sku trung","Đã bỏ qua Sku bị trùng"
"Da cap tu dong %s SKU","Đã cấp %s Sku"
"Vui long nhap so luong Sku can","Vui lòng nhập số lượng Sku cần"
"khong tim thay thong tin de luu","Không tìm thấy Sku cần cấp"
"Provide sku","Cấp Sku tự động"
"ds sku chua lam noi dung","Danh Sách Sku chưa làm nội dung"