"Customer Requirements","Khách hàng yêu cầu"
"Company Address:","Địa chỉ công ty:"
"Company Address","Địa chỉ công ty"
"Company Name:","Tên công ty:"
"Company Name","Tên công ty"
"I ensure that all order information is accurate. (Customers still receive information via email order confirmation)","Tôi bảo đảm mọi thông tin đặt hàng đều chính xác. (Khách hàng vẫn nhận được thông tin Xác Nhận Đơn Hàng qua email)"
"No need to call the order confirmation.","Không cần gọi điện xác nhận đơn hàng."
"Red invoice requirements for this order","Yêu cầu xuất hóa đơn đỏ cho đơn đặt hàng này"
"Request to call the order confirmation.","Yêu cầu gọi điện xác nhận đơn hàng."
"Tax code:","Mã số thuế:"
"Tax code","Mã số thuế"
"Your Note for this Order","Ghi chú của khách hàng cho đơn đặt hàng này"
"Your Note for this Order:","Ghi chú của bạn cho đơn đặt hàng này:"