"Add field search book","Thêm ô tìm sách"
"Address","Địa chỉ"
"Amount","Thành tiền"
"Books","Các sách"
"by","bởi"
"Can use your link, product names, or ISBN","Có thể dùng link, tên sản phẩm, hoặc số ISBN"
"Change","Thay đổi"
"Click here to contact us","Nhấn vào đây để liên hệ với chúng tôi"
"Continue","Tiếp tục"
"Customer Information","Thông tin khách hàng"
"Email Address","Địa chỉ Email"
"Error during processing orders, reorder your berry","Lỗi trong quá trình đặt hàng, mong bạn đặt hàng lại"
"Full Name","Họ Tên"
"Go to Home page","Về trang chủ"
"Loading next step","Đang tải bước tiếp theo"
"Loading result search from Amazon","Đang tìm kiếm kết quả từ Amazon"
"Order","Đặt hàng"
"Order steps","Các bước đặt hàng"
"Order successful, we will contact you as soon as possible","Đặt hàng thành công, chúng tôi sẽ liên hệ với bạn trong thời gian sớm nhất"
"Order to continue","Đặt hàng tiếp tục"
"Order View","Xem đơn đặt hàng"
"Payment","Thanh Toán"
"Qty","Số lượng"
"Reorder","Đặt hàng lại"
"Required Field","Các trường bắt buộc"
"Results Found","Kết quả tìm được"
"Result search for keyword","Kết quả tìm được với từ khoá"
"Search book","Tìm sách"
"Search Books from Amazon","Tìm kiếm các sách từ Amazon"
"Search keyword book","Kìm kiếm từ khoá"
"Selected books","Đã chọn các sách"
"Select buy","Chọn mua"
"Service fee","Chi phí dịch vụ"
"Shipping fee","Chi phí vận chuyển"
"Tax VAT","Thuế VAT"
"We did not find any suitable books, you can contact us to assist you in a better way","chúng tôi không tìm thấy sách nào phù hợp, bạn có thể liên hệ với chúng tôi để hỗ trợ cho bạn một cách tốt nhất"