"Bao Ao Trang","Báo Áo Trắng"
"Bao The Thao Ngay Nay","Báo Thể Thao Ngày Nay"
"Best Review","Hay nhất"
"Have %s comments","Có %s trả lời"
"Informed or abusive","Thông báo có nội dung xấu"
"News Papers","Đăng trên báo"
"No","Không"
"Please notify us if content is the bad","Vui lòng thông báo cho chúng tôi nếu thấy nội dung có tính chất xấu"
"Read more","Xem tiếp"
"Send comments","Gửi bình luận"
"Thanks","Đồng ý"
'Top products using Like the most','Sản phẩm được Like nhiều nhất'
"View other comments","Xem các trả lời khác"
'Week','Tuần'
"Write Comment","Viết trả lời"
"You have to thank all reviewers of %s successful","Bạn đã có lời cám ơn đến bài nhận xét của %s thành công!"